"TN","TP","DO","TURB","COND","VEL","SS","WDP","CHLcal","SECCHI"
NA,NA,9.4,13,370,0.48,18.2,2.5,34.97316,50
0.99,0.168,9.8,27,401,0.1,30.9,0.8,33.13548,35
NA,NA,9.5,14,370,0.18,18.1,1.5,36.10404,50
NA,NA,9.4,16,371,0.27,23.2,1,39.49668,48
1.198,0.186,10,18,371,0.3,26.2,2.6,36.9522,54
1.169,0.182,9.7,15,370,0.28,19.6,2.5,37.51764,50
NA,NA,9.5,16,371,0.26,21.6,1.3,37.51764,47
NA,NA,9.7,14,370,0.24,19.3,2.5,35.82132,53
NA,NA,10.7,20,371,0.24,28.5,1,40.91028,48
1.195,0.175,9.4,14,372,NA,19.9,3.9,35.39724,55
1.151,0.172,10,13,372,NA,17.1,2.3,35.39724,55
NA,NA,9.6,12,374,0.32,17.6,3.4,23.38164,60
2.032,0.726,7.7,80,477,0,76.5,0.44,83.17692,15
NA,NA,6.7,90,479,0,123.6,0.44,66.77916,15
NA,NA,6.9,77,474,0,86,0.4,66.07236,15
NA,NA,7.7,40,462,0,40.8,0.9,60.84204,20
NA,NA,8.3,35,462,0,37.1,1,54.33948,15
1.825,0.498,7.7,35,459,0,37.3,0.91,52.36044,20
NA,NA,8,33,457,0,35.4,0.82,55.329,20
1.317,0.496,7.5,37,458,0,38.7,0.94,50.80548,20
NA,NA,8.6,36,435,0,38.1,0.95,45.71652,25
1.457,0.411,8.4,39,433,0,42.2,1,47.69556,20
1.424,0.38,7.9,38,434,0,41.8,1,45.71652,20
NA,NA,9.4,32,442,0,34.1,1,54.19812,25
1.353,0.394,8.4,34,401,0,41.2,0.56,48.54372,26
NA,NA,7.9,24,402,0,27.2,0.92,41.8998,30
NA,NA,6.3,19,408,0,20.1,0.4,31.01508,30
NA,NA,8.8,30,394,0,36.8,1.05,41.05164,28
NA,NA,9.8,25,393,0,25.1,1,42.18252,28
NA,NA,13.7,24,390,0,31.5,0.6,58.72164,26
NA,NA,10.2,18,384,0,21.3,1.1,39.7794,40
1.11,0.197,10.2,21,451,NA,30.8,0.91,25.74188,39
0.98,0.185,10.3,22,458,0,27.1,0.79,33.86076,36
NA,NA,10.2,30,460,0,33.6,2.6,34.15072,35
NA,NA,10.3,27,461,0,32.2,2.9,35.7455,29
NA,NA,10.3,23,462,0,27,0.85,36.90534,30
1.034,0.19,10.2,25,461,0,27.4,2.1,37.34028,29
0.969,0.19,10.1,26,461,0,32.4,1.1,29.80132,26
0.926,0.183,9.7,21,461,0,22.2,3.4,33.42582,28
NA,NA,9.3,24,461,0,25.8,1.9,29.9463,27
NA,NA,10,25,463,0,26.6,3.1,35.45554,28
NA,NA,10.7,23,463,0,27.1,1.1,34.58566,29
NA,NA,10.8,22,464,0,26.5,2.1,33.13586,30
NA,NA,10.8,21,461,0,26,1.8,33.71578,32
NA,NA,10.3,14,457,0,20.8,1.5,25.74188,39
0.989,0.177,9.3,11,460,0,13.3,4.9,21.82742,62
NA,NA,9.6,13,459,0,16.7,2.7,25.74188,61
NA,NA,10.8,41,466,0,40.8,0.64,35.45554,21
1.172,0.268,10.3,39,466,0,41.8,0.63,29.80132,24
NA,NA,10.2,65,464,0,74.7,0.55,35.45554,13
1.226,0.28,10.3,67,464,0,51.2,0.73,33.13586,16
NA,NA,10,87,465,0,96.3,0.53,33.71578,12
NA,NA,10,67,465,0,69.1,0.69,30.81618,12
NA,NA,10.2,49,465,0,47,0.81,28.35152,15
1.129,0.19,10.4,11,462,NA,12.9,9.6,29.9463,57
NA,NA,11.9,11,448,NA,11.3,8.7,26.61176,58
1.057,0.187,10.8,12,485,NA,12.1,8.9,26.46678,53
NA,NA,9.9,75,407,0,79.1,0.5,43.28446,15
NA,NA,10.8,11,434,0.1,14.4,1.8,27.19168,50
0.969,0.158,11.2,10,435,0.17,11.7,6,23.56718,75
NA,NA,11.7,10,433,0.17,12,5.9,27.91658,75
1.043,0.153,10.4,10,428,0.16,12.3,4.5,26.75674,65
NA,NA,11.1,10,427,0.18,12.3,6.1,27.33666,61
0.967,0.153,11.5,16,429,0.21,18.8,2.7,29.2214,65
NA,NA,11,10,429,0.2,12.2,3.5,26.61176,65
0.919,0.147,11,10,428,0.13,12,1.1,28.78646,62
NA,NA,11.8,9,426,0.12,9.8,3.6,21.2475,61
1.035,0.161,11.3,10,435,0.16,13.1,4.1,24.872,60
NA,NA,11.7,10,428,0.26,13.3,5.5,23.27722,51
NA,NA,10.7,13,429,NA,14.7,5,24.00212,51
NA,NA,11.5,12,430,NA,15.3,4.4,25.5969,50
0.971,0.146,11.4,11,427,NA,13.9,3.8,25.74188,50
NA,NA,12.3,11,424,0.2,13.2,1.5,22.11738,53
NA,NA,12.4,10,424,NA,12.4,2.4,22.84228,59
0.882,0.142,12.3,12,425,0.12,15.4,1,25.01698,50
NA,NA,11.8,9,426,NA,10.8,4,24.43706,61
0.938,0.15,11.7,9,428,NA,11.7,3.9,24.00212,65
NA,NA,11.7,17,487,0.1,24.1,0.89,27.91658,48
1.092,0.24,10.2,35,496,0.02,34.3,1.16,55.46278,27
0.814,0.137,9.5,9,434,NA,10.2,4.2,17.18806,56
NA,NA,9.5,25,464,0,26,1.3,44.87924,24
NA,NA,9.7,10,430,NA,11.8,3.9,20.81256,53
NA,NA,9.9,11,439,NA,13.5,9,22.6973,51
NA,NA,9.1,21,569,0,22,0.43,24.43706,26
NA,NA,9.7,24,532,0,27.8,0.46,29.65634,20
0.88,0.168,9.9,26,531,NA,29.1,0.71,37.63024,19
NA,NA,10.3,11,431,NA,12,9.2,25.01698,61
0.967,0.143,10.2,12,434,0.22,15,5.2,26.17682,58
NA,NA,11.8,22,431,0,25.1,1.2,29.9463,30
NA,NA,11.2,16,430,0,18.8,0.57,15.73826,36
NA,NA,10.4,11,437,0.21,14.7,4.5,26.46678,54
NA,NA,9.9,8,507,NA,12.6,7.2,25.88686,47
NA,NA,9.9,11,523,NA,14.1,3.5,24.58204,44
NA,NA,10.1,9,561,0.25,13.3,4.9,22.6973,46
1.004,0.167,9.9,10,458,0.13,22,1.9,22.55232,42
NA,NA,10.3,10,510,0.21,15.2,3.1,23.27722,47
NA,NA,10.2,9,528,0.21,15.1,4.1,24.00212,47
NA,NA,10.3,12,422,0.14,17.7,1.8,26.61176,50
0.926,0.153,10.1,16,423,0.05,23.2,2.4,27.33666,45
NA,NA,10.1,15,424,0.05,23.3,2.6,27.62662,45
NA,NA,10.3,13,425,NA,19.2,4.2,26.75674,55
0.936,0.148,10.4,11,426,NA,14.5,7.1,24.72702,65
NA,NA,10.6,12,426,0.6,16.3,2.2,25.30694,55
NA,NA,11.9,19,451,0,22.9,4.8,37.34028,35
NA,NA,10.7,11,427,0.25,14.2,5.5,27.0467,50
0.948,0.143,10.6,13,427,0.22,20.4,2.7,28.20654,50
NA,NA,10.9,12,426,0.04,18.4,4.5,27.7716,53
NA,NA,10.8,15,428,0.12,24.9,1.7,29.2214,45
NA,NA,10.4,10,428,NA,12.3,8.5,26.17682,50
0.899,0.14,10.5,12,426,0.2,17.4,3.1,26.3218,48
NA,NA,10.3,13,428,0.16,19.1,5.2,28.20654,50
NA,NA,10.5,14,428,0.27,20.4,7.9,28.64148,55
NA,NA,10.8,13,428,0.2,20.1,3.4,28.35152,50
0.683,0.212,8.5,4,447,0,3.3,1.15,5.2997,115
NA,NA,8.7,3,446,0,2.8,1.17,7.03946,117
NA,NA,8.2,3,445,0,3.1,1.35,9.35914,120
NA,NA,8.6,4,446,0,3.6,1,8.63424,100
0.688,0.207,6,3,444,0,2.6,1,5.15472,90
NA,NA,7.6,7,441,0,6.7,1,6.45954,85
NA,NA,7.4,7,441,0,6.5,1.05,8.05432,82
NA,NA,7.4,6,441,0,6.3,0.95,7.76436,80
NA,NA,6,3,466,0,2.7,0.92,5.15472,92
0.822,0.183,5.4,10,448,0,10.3,1.03,21.39248,55
0.596,0.243,7.1,2,470,0,1.6,0.95,3.26998,95
0.858,0.152,10.4,27,477,0,32.6,1,35.45554,32
NA,NA,9.7,24,466,0,31.1,0.68,41.10976,33
NA,NA,9.3,15,486,0,19.5,0.8,25.45192,50
NA,NA,9.3,16,481,0,19.7,0.65,33.28084,40
NA,NA,10.2,33,481,0,43.3,0.55,36.18044,30
NA,NA,9.2,19,482,0,24.6,0.65,25.30694,35
NA,NA,9.9,18,476,0,21.1,1.4,31.25112,38
0.881,0.148,10,20,474,0,22.8,1.15,26.90172,38
NA,NA,7.1,26,452,0,30.9,0.5,32.99088,40
0.892,0.142,6.9,27,453,0,29.7,0.56,34.58566,40
NA,NA,10.2,27,471,NA,29,3.2,39.08004,40
NA,NA,9.6,22,475,NA,23.6,3.6,27.19168,36
0.864,0.15,9.5,33,473,NA,39.6,2.7,25.45192,32
2.624,0.166,16.6,13,539,NA,15.1,14.7,47.27497,54
2.611,0.159,17.8,10,529,NA,15,2.28,45.47486,46
3.051,0.197,16.6,12,575,NA,15.5,15.08,47.55191,49
NA,NA,16.5,13,581,NA,15.7,16.49,47.1365,46
NA,NA,16.8,12,594,NA,15.2,5.29,46.44415,60
2.83,0.205,16.4,12,587,NA,16,8.69,40.62841,60
2.788,0.192,16.8,11,576,NA,14.2,0.58,47.41344,48
NA,NA,20,11,465,NA,21.5,5.6,82.44635,46
NA,NA,18.3,12,466,NA,21.2,6,81.33859,47
NA,NA,18.6,11,467,NA,20.3,5.8,79.81542,50
NA,NA,18.7,11,465,NA,20.7,5.8,64.72219,49
NA,NA,18.6,11,467,NA,20.8,6,71.23028,45
2.38,0.102,18.9,11,470,0.15,18,5.8,69.56864,58
2.338,0.096,18.6,11,470,0.15,18.6,5.7,73.72274,57
NA,NA,18.9,12,464,NA,20.3,7,72.0611,53
NA,NA,19.4,11,466,NA,19.6,6.2,57.52175,46
2.975,0.168,18.4,12,566,NA,20,5.4,67.35312,52
2.427,0.091,18.7,11,463,0.15,21,4.4,77.73837,58
NA,NA,17.9,9,534,0.04,15.8,2.99,68.87629,71
NA,NA,20,9,530,0,14,1.57,57.93716,69
NA,NA,20,9,530,0.07,16.8,1.88,69.2917,65
2.801,0.167,18.6,11,545,0.11,18.6,4,71.64569,59
2.685,0.164,20,10,538,0.11,17.6,2.7,70.81487,57
NA,NA,20,11,555,0.05,17.4,4.58,69.98405,63
NA,NA,19,7,671,0,7.2,0.71,22.62731,67
NA,NA,20,6,638,0,6.5,0.71,20.96567,67
1.621,0.167,17,7,749,0,7.8,0.79,32.45868,67
NA,NA,18.1,11,569,0.18,17.9,4.1,70.6764,68
NA,NA,19.2,8,466,0,10.6,1.2,43.12087,80
0.827,0.08,17.5,9,441,0,12.6,1.1,28.99693,68
0.856,0.102,16.2,23,422,0,34.7,1,23.5966,70
NA,NA,16,18,440,0,27.8,1,29.82775,70
0.759,0.085,16.1,11,412,0,15.4,0.9,20.68873,67
NA,NA,16,10,417,0,13.7,0.8,25.11977,63
NA,NA,17.9,8,470,0,11.5,0.6,43.81322,60
NA,NA,15.9,24,442,0,36.6,0.7,36.33584,48
NA,NA,14.3,10,443,0,13.3,1,23.18119,63
0.777,0.071,15.1,7,437,0,9.1,1,19.4425,74
0.829,0.078,16.1,8,447,0,11.7,0.8,24.15048,67
NA,NA,16.9,9,533,0,15,1.7,38.8283,68
NA,NA,16.1,8,534,0,14.9,1.8,57.24481,67
2.382,0.118,17.1,9,529,0,16.2,2.1,44.22863,62
NA,NA,17.8,9,528,0,16.3,3,45.7518,65
NA,NA,18.2,9,525,0,16.1,1.2,50.04437,65
2.269,0.114,17.3,9,520,0,15.1,0.7,41.04382,62
NA,NA,18.8,8,511,0,15.1,4.9,48.79814,64
NA,NA,18.4,10,522,0,16.4,3.3,53.36765,64
NA,NA,17.7,9,516,0,16.3,4.4,64.16831,66
NA,NA,17.2,10,517,0,18.6,2.5,48.24426,62
1.677,0.099,19.8,7,481,0,17.7,1.4,37.72054,58
NA,NA,18.3,11,504,0,18.9,4.4,48.24426,61
1.779,0.11,18.2,10,497,0,17.1,2.6,62.64514,58
NA,NA,18.6,10,510,0,13.6,5.3,68.87629,64
3.921,0.129,18.7,11,529,0,18.5,2.9,67.35312,60
NA,NA,10.8,3,391,0,1.9,0.92,3.79539,92
NA,NA,11.3,2,384,0,1.5,0.74,3.51845,74
NA,NA,11.9,5,423,0,5.3,0.94,14.18064,94
0.761,0.096,12.6,12,430,0,12.9,0.8,19.71944,60
NA,NA,12.3,9,422,0,9.9,1.25,21.38108,75
0.48,0.086,10.5,2,398,0,1.2,0.85,3.51845,85
NA,NA,11,2,398,0,1.4,0.8,3.37998,80
NA,NA,10.3,2,398,0,1.3,0.82,3.51845,82
0.599,0.214,9.3,7,448,0,8.4,0.8,3.93386,80
NA,NA,14.9,51,473,0.32,53.6,5.6,52.95224,25
2.44,0.18,14.7,56,465,0.18,56.5,8,55.30623,22
NA,NA,15.7,49,570,NA,63.6,6.2,60.84503,31
NA,NA,15.7,27,630,NA,36.8,9,55.30623,44
2.519,0.186,14.7,58,470,0.24,61.1,4.2,57.66022,22
2.186,0.103,14.5,65,469,0.2,73.1,8,63.19902,22
NA,NA,14.4,62,468,0.22,68.3,20,57.10634,25
2.235,0.111,14.4,68,468,0.22,72.4,10.2,61.67585,25
NA,NA,14.6,60,468,0.21,62.3,6,56.69093,25
NA,NA,14.5,68,396,0,80.1,0.62,71.23028,25
NA,NA,14.3,73,393,0,85.6,0.5,64.44525,23
NA,NA,13,5,381,0,3.9,0.5,5.73397,50
NA,NA,14.5,75,438,0,104.6,0.5,71.36875,23
1.081,0.086,15.1,65,439,0,102.2,0.7,90.61608,22
NA,NA,16.2,56,464,NA,51.43,5,50.18284,15
3.078,0.177,16.3,49,464,NA,47.93,5.4,56.55246,18
NA,NA,16.2,46,469,0.15,43.65,1.6,59.04492,17
2.966,0.159,16.4,43,470,0.14,42.5,1.6,56.8294,20
2.966,0.166,16,43,470,0.14,43.46,1.4,55.86011,20
NA,NA,16.2,49,463,0.35,48.55,1.8,55.4447,15
NA,NA,16.2,49,463,0.52,46,3.9,57.24481,19
NA,NA,15.7,47,464,0.24,46.92,3.7,56.41399,17
NA,NA,13.8,70,378,0.13,43.2,1.5,20.41179,14
NA,NA,13.8,70,382,0.14,37.3,1.5,21.24261,14
NA,NA,16.3,50,461,0.25,48.7,2.1,48.5212,16
NA,NA,15.5,50,461,0.35,48.84,3.8,51.84448,16
NA,NA,15.7,48,465,NA,47.1,7.3,54.61388,16
NA,NA,15.8,44,470,0.25,45.5,2.1,61.81432,18
NA,NA,16.1,44,470,0.25,45.59,2.1,60.01421,16
NA,NA,15.9,43,472,0.25,43.43,1.6,60.15268,16
NA,NA,15.9,41,474,0.25,42.82,1.9,62.92208,18
NA,NA,16,44,470,0.25,45.86,3.8,58.90645,18
NA,NA,16.2,46,468,0.26,46.8,3.8,65.1376,17
2.814,0.17,15.7,43,477,0.12,43.98,1.5,48.5212,22
NA,NA,15.5,44,472,0.2,44.85,4.2,60.15268,19
NA,NA,15.9,46,473,0.2,44.47,1.3,58.90645,19
NA,NA,15.6,46,469,0.23,45.29,5.9,57.66022,17
NA,NA,14,14,685,0,14.04,0.6,19.02709,41
NA,NA,13,14,692,0,16.04,1.03,19.71944,43
1.683,0.319,13.1,15,690,0,18.03,0.8,19.85791,45
NA,NA,14.6,15,685,0,14.86,0.68,16.81157,40
NA,NA,14.3,12,663,0,12.67,0.86,12.519,45
1.518,0.269,14.2,14,663,0,14.71,0.87,15.42687,44
NA,NA,14.6,24,681,0,25.58,0.62,21.79649,30
NA,NA,14.3,19,665,0,18.72,0.73,18.47321,34
NA,NA,12.9,22,675,0,23.92,0.85,25.39671,32
NA,NA,14.7,19,677,0,20.04,0.78,21.65802,30
NA,NA,14.3,23,655,0,23.96,0.7,18.0578,34
1.552,0.272,14.7,17,686,0,19.4,0.59,17.36545,36
1.748,0.356,14.1,49,648,0,53.9,0.58,26.22753,30
1.858,0.353,15,32,681,0,39.11,0.8,28.16611,40
NA,NA,14.3,25,677,0,27.84,0.6,22.07343,33
NA,NA,15.6,43,465,0.31,42.55,8.7,54.06,25
NA,NA,15.7,39,467,0.12,38.74,2.7,54.33694,23
3.129,0.153,15.7,39,465,0.31,39.36,7.5,48.79814,24
NA,NA,15.6,36,472,0.3,36.81,3,62.50667,28
NA,NA,16.1,36,472,0.13,37.92,2.7,63.33749,27
3.16,0.151,16,37,471,0.16,36.97,4,41.5977,25
5.199,0.36,8.1,180,393,0.93,134.6,4.7,6.76048,10
NA,NA,8.1,175,388,1.11,145.6,5.6,7.3982,12
5.24,0.377,8.2,175,387,1.11,144.9,5.3,6.60105,12
NA,NA,7.9,170,397,1.11,177.9,7.6,6.12276,8
NA,NA,9.5,230,300,NA,230.2,9.6,9.78965,6
NA,NA,9.6,260,268,NA,269.5,9.1,11.38395,5
NA,NA,9.6,270,282,NA,261.4,6.4,11.70281,6
3.786,0.356,8.6,180,253,0,107.3,3.7,4.52846,11
3.816,0.353,8.1,200,252,0,114.4,3.5,4.05017,10
NA,NA,8.7,210,253,0,134.4,3.7,5.00675,6
3.949,0.405,9.1,220,255,0,175.5,3.5,7.23877,6
NA,NA,9.4,230,255,0,188.4,3.5,7.07934,5
NA,NA,9.5,250,256,0,219,2.8,8.19535,5
NA,NA,9.5,270,262,NA,254.1,15.8,10.42737,5
NA,NA,9.4,220,256,0.85,179.6,4.1,8.19535,6
4.216,0.452,9.5,240,257,0.46,202.2,4,8.19535,8
4.029,0.416,9.5,230,255,0.4,195.2,4.3,7.55763,7
NA,NA,9.3,210,257,0,179.4,3.3,7.23877,5
NA,NA,9.4,40,258,0,211,3.1,9.78965,5
NA,NA,9.4,230,256,0.36,178.9,6.3,8.19535,5
NA,NA,9.4,240,256,0.22,208.1,6.5,9.31136,5
NA,NA,9.6,220,302,1.04,193.4,5.7,10.5868,6
5.064,0.431,8.8,190,349,0.97,160.1,11.1,8.83307,6
NA,NA,8.7,190,355,1.04,167.3,11.1,7.87649,6
4.471,0.388,9.6,180,265,0.17,137.3,3.8,7.3982,11
NA,NA,9.6,190,267,0.23,152,3.3,7.3982,12
NA,NA,9.4,190,266,0.11,155.5,4.4,5.64447,11
NA,NA,9.2,170,262,0.11,119.1,1.3,6.12276,10
NA,NA,10.7,190,290,1.42,186.7,8.1,9.15193,10
NA,NA,8.6,145,255,0.03,72.7,5.1,4.05017,13
5.151,0.412,10.9,180,284,0.67,171.8,7.6,8.9925,11
NA,NA,10,180,280,1.35,161.9,8.4,7.87649,14
NA,NA,9.4,180,265,0,130.6,4,6.28219,9
NA,NA,9.4,170,265,0,132.7,3.7,6.60105,12
4.435,0.364,9.6,165,268,0.27,126.5,4.5,6.28219,12
NA,NA,9.3,170,266,0.29,119.8,4.4,5.96333,9
NA,NA,9.2,170,265,0.11,116.9,3.9,6.12276,13
4.343,0.361,9.3,165,267,0.09,127.1,1.6,5.16618,10
5.228,0.407,10.2,165,301,NA,156.4,11.3,7.71706,10
NA,NA,9,160,343,NA,146.5,12.6,6.12276,10
5.089,0.378,8.7,160,354,NA,130.8,12,6.12276,11
4.862,0.407,10.1,175,301,NA,167.1,8.2,8.67364,11
NA,NA,9,165,348,NA,154.6,12.3,6.12276,13
NA,NA,8.3,155,389,NA,150.1,6.4,5.48504,14
NA,NA,8.5,165,376,1.19,141.9,8.6,6.76048,11
NA,NA,8,95,453,0.15,55.3,5,3.25302,15
NA,NA,8.1,112,453,0.12,71.3,5.1,3.73131,10
NA,NA,8,108,451,0.3,67.8,5.3,3.89074,15
6.754,0.277,8.1,104,450,0.35,68.1,4.9,3.57188,15
NA,NA,7.3,60,424,0,25.8,4.5,NA,19
NA,NA,8.1,112,456,0.08,83.4,4.7,3.89074,15
6.843,0.281,8.1,98,452,0.42,63.9,5.2,3.57188,15
NA,NA,8.2,92,451,0.39,45.4,5.1,3.25302,18
NA,NA,7.8,83,448,0.18,51.8,5,3.41245,15
6.396,0.251,7.7,83,444,0,37.7,4.3,3.89074,18
NA,NA,7.8,78,442,0,30.2,4.7,4.2096,15
NA,NA,7.2,74,425,0,24.5,4.7,5.96333,11
5.88,0.249,7.4,75,429,0,36,4.9,4.84732,19
5.403,0.211,8.1,66,395,0.15,29.7,4.6,4.68789,18
NA,NA,7.8,85,449,0.11,38.9,4.7,3.25302,14
NA,NA,7.8,76,435,0.31,33.2,4.6,3.73131,16
NA,NA,8.8,52,363,0.07,31.1,4.3,4.68789,20
4.92,0.153,9.5,49,344,0,33.7,4.3,4.84732,20
5.414,0.182,10.1,54,347,0.44,42.6,5,6.91991,24
5.41,0.18,10,54,350,0,31.1,3.7,6.28219,22
NA,NA,10.1,65,350,0.32,60.8,4.7,8.83307,19
NA,NA,9.9,64,351,0.54,60.7,4.6,8.51421,22
5.284,0.194,10,60,351,0.27,52.7,2.1,7.3982,22
NA,NA,9.2,62,322,0.69,48.5,4,6.91991,22
NA,NA,9.9,63,352,NA,73.5,5.5,12.02167,26
NA,NA,9.7,63,341,1.1,68.7,10.6,12.02167,19
5.28,0.218,10.1,65,347,1.1,74.6,7.4,12.97825,20
5.112,0.211,10.1,68,348,1.1,78.6,7.7,11.70281,20
NA,NA,9.6,62,339,1.12,61.6,11.7,10.42737,18
4.905,0.198,10.2,59,347,1.06,74.3,8.7,12.34053,18
5.251,0.199,10,60,345,0.35,68.5,10.4,12.02167,20
NA,NA,9.8,65,342,0.8,68.9,11.5,10.74623,19
NA,NA,10.2,53,347,0.46,54.1,7.7,10.26794,21
NA,NA,9.9,65,347,1,71.7,16,10.90566,20
5.212,0.213,10.2,67,347,0.9,74.2,7,11.54338,19
NA,NA,10,66,351,0.88,77.7,4,13.7754,22
NA,NA,10.2,64,355,NA,75.7,10,12.65939,23
NA,NA,10,58,355,0.6,62.6,6.7,12.02167,24
NA,NA,10,58,355,0.8,59.7,10.4,11.54338,21
NA,NA,10.1,66,355,0.82,77.4,6.8,8.35478,24
NA,NA,10,50,363,1.16,59.9,7.6,15.3697,25
5.082,0.184,9.5,46,365,NA,54.7,8.8,14.41312,26
NA,NA,9.9,51,357,NA,71.3,16.4,16.00742,24
NA,NA,9.9,46,364,1,57,8.1,14.57255,26
NA,NA,10,59,346,1.13,72.2,7.7,14.89141,26
NA,NA,9.8,44,365,NA,54.5,9.2,16.48571,26
NA,NA,9.8,56,344,0.82,59.5,10.9,14.41312,24
NA,NA,9.7,53,342,0.56,52.5,6.3,13.61597,24
NA,NA,10.1,53,361,NA,70.8,13.9,17.76115,24
NA,NA,9.9,53,358,NA,73.5,15.3,18.71773,22
5.056,0.209,9.8,55,358,NA,73.1,15.3,17.60172,22
4.697,0.194,9.7,55,340,0.64,60.1,9.6,15.05084,20
4.697,0.192,9.8,57,344,1.02,61,9.7,16.48571,23
NA,NA,9.1,47,337,0.32,35,5.8,12.81882,23
NA,NA,9.4,51,341,1.02,47.9,10.1,13.29711,25
NA,NA,8.6,47,335,NA,34.5,18.5,10.74623,25
NA,NA,9.1,49,340,NA,47.2,19.2,12.81882,23
4.72,0.193,9.4,55,346,NA,61.9,22.3,15.84799,22
NA,NA,9.5,45,344,0.58,49.1,11.9,14.41312,25
4.843,0.195,9.5,55,341,NA,70.6,16,18.5583,20
5.895,0.295,8,91,444,NA,98.8,13.2,6.28219,22
NA,NA,9.2,56,338,0.8,62,3.4,12.02167,27
NA,NA,8.9,40,337,0.1,24.1,4.8,12.49996,31
4.733,0.159,9.1,39,337,0.11,21.5,5.1,9.15193,30
NA,NA,9.1,40,337,0.12,22.3,3.8,8.9925,30
4.315,0.156,8.9,40,337,0.1,23.9,4.5,10.5868,25
4.624,0.154,9,40,337,0.1,23,4.7,8.51421,25
NA,NA,8.6,42,337,0,26.9,5.3,5.00675,27
NA,NA,8.9,44,338,0.13,28.2,2,9.47079,26
NA,NA,9.2,42,337,0.1,26.1,4,9.31136,28
NA,NA,9,49,338,0.1,39.8,3.6,8.67364,28
4.844,0.17,9,46,338,0.06,32.3,3.4,11.70281,20
4.562,0.204,9.1,44,338,0.06,31.7,2.2,11.38395,22
NA,NA,9,55,338,0.04,58,2.2,11.22452,26
NA,NA,9.3,56,338,0.77,63.7,3.3,13.29711,28
NA,NA,9.1,52,338,0.51,60.7,2.4,12.81882,26
NA,NA,4.9,35,495,NA,57.3,12.2,22.82483,31
4.828,0.208,5.1,42,429,NA,65.6,1.6,21.37241,30
4.792,0.225,5.1,39,437,0.74,67,3,20.56551,30
4.699,0.221,4.5,44,430,0.8,83.9,1.6,21.69517,25
NA,NA,4.5,39,430,0.68,68,2.2,21.37241,26
4.659,0.225,4.4,41,430,1.26,76.6,6.2,20.24275,28
4.771,0.217,4.6,36,431,1.1,64,7.2,18.62895,30
NA,NA,5,38,436,1.08,63.4,4.4,22.50207,30
4.724,0.206,5,36,439,1.2,66.3,5.8,23.47035,35
NA,NA,4.9,39,440,1.04,65.1,3.8,22.34069,28
NA,NA,5.2,40,440,0.54,65.4,3.4,21.85655,30
NA,NA,5.1,42,440,NA,72.7,6.4,21.53379,35
NA,NA,5.3,41,447,NA,71.7,3.4,25.08415,33
NA,NA,5.2,34,448,0.07,55.8,4.6,23.79311,29
NA,NA,5.2,33,447,NA,44.3,4.4,23.95449,31
4.817,0.206,5.3,34,446,NA,60.3,8,23.95449,34
NA,NA,5.1,35,440,0.54,60.1,3.6,23.47035,35
NA,NA,5.1,38,447,NA,67.4,3.7,24.60001,33
4.908,0.232,6.5,39,446,1.15,48.4,10,21.53379,30
NA,NA,5.5,38,444,1.13,69.3,5.7,24.27725,33
NA,NA,5.4,34,448,0.15,55.4,2.4,20.08137,31
NA,NA,5.6,40,446,1.24,71,5.4,27.02071,30
4.752,0.222,6,34,446,1.24,48.3,5.6,24.76139,30
NA,NA,5.3,39,444,0.55,66.5,1.4,20.88827,29
NA,NA,5.5,39,444,0.55,62.9,1.1,24.43863,29
4.602,0.206,5.6,37,444,0.46,68.7,0.42,24.27725,29
NA,NA,4.4,33,651,NA,38.6,10.6,30.40969,34
NA,NA,6.2,44,455,0.94,65.8,2.9,21.04965,30
4.629,0.19,5.5,41,453,0.4,59.7,2.5,20.08137,30
NA,NA,5.4,33,454,0.8,52.9,3.5,20.08137,34
NA,NA,5.4,22,454,0.61,35,4.6,19.75861,45
4.551,0.192,5.5,36,455,0.59,62.8,0.9,43.96561,37
NA,NA,5.3,38,454,NA,54.6,3.3,80.43749,34
4.677,0.19,5.9,31,447,0.77,50,6.1,20.24275,35
4.589,0.195,6.3,30,446,0.71,49.3,10.3,16.69239,35
NA,NA,5.4,41,443,0.94,69.2,4,30.73245,31
NA,NA,5.2,36,442,0.29,59.1,2.7,27.66623,27
NA,NA,5.8,31,443,0.98,NA,7.2,19.59723,30
4.8,0.206,5.5,29,452,NA,54.3,6.7,22.17931,35
NA,NA,3.5,35,438,0,38.5,2.7,13.46479,25
NA,NA,5.5,29,444,0.66,48.7,3.2,23.63173,32
NA,NA,5.5,31,446,0.76,51.9,4.3,21.53379,27
4.196,0.174,5.3,25,427,0.48,31.8,2.8,26.85933,27
NA,NA,5.3,34,447,NA,44.4,4.6,27.34347,30
NA,NA,5.5,38,447,0.6,58.4,1.2,2.32957,31
4.741,0.202,5.5,35,449,NA,46.3,6.1,29.44141,36
NA,NA,5.6,38,456,0.9,66.8,4.8,22.66345,34
NA,NA,5.5,38,456,0.61,62.1,2.1,19.59723,32
NA,NA,5.5,33,448,0.46,37.8,2.9,21.53379,34
NA,NA,6.8,27,518,0.24,39.7,0.6,31.37797,27
NA,NA,6.9,15,510,0.55,21.4,5.8,30.24831,46
NA,NA,6.8,16,442,NA,18.5,10.7,24.27725,40
4.947,0.305,6.9,46,659,0,52.2,0.73,37.99455,19
NA,NA,7,20,458,NA,35.4,3.5,28.63451,46
NA,NA,7,28,500,0.52,46.3,3.6,33.47591,41
