"TN","TP","DO","TURB","COND","VEL","SS","WDP","CHLcal","SECCHI"
4.214,0.193,10.6,33,589,NA,43,3.4,30.5639,33
4.641,0.24,10,115,605,NA,160.2,4.5,31.60838,27
NA,NA,11.2,21,598,NA,25.9,3.5,35.17702,55
NA,NA,11.4,21,589,NA,26.7,1.9,32.47878,59
3.963,0.325,11.1,78,600,0.03,97.9,0.8,59.11302,16
NA,NA,11.3,110,554,0.03,138.6,0.7,123.00038,12
3.451,0.179,11.6,21,587,NA,27.9,1,36.2215,51
NA,NA,11.6,20,592,NA,28.2,1.3,24.4711,53
NA,NA,11.8,21,590,NA,30.9,0.9,34.56774,52
NA,NA,16.4,58,413,0.02,97.4,0.6,148.24198,23
4.449,0.235,12.2,42,595,0.05,66.8,0.7,43.70694,27
3.713,0.267,12.2,62,587,0.02,86.5,0.4,40.39942,17
3.351,0.159,11.9,11,597,0.17,11.9,0.7,25.25446,70
4.177,0.155,12.6,11,595,0.02,9.9,2.8,22.12102,83
NA,NA,12.6,10,605,0.08,10.3,3.6,27.34342,79
3.282,0.159,11.6,12,589,NA,12.2,6,28.30086,84
3.812,0.154,11.7,12,600,NA,11.7,3.5,27.0823,86
NA,NA,11.2,15,560,NA,14,6.7,26.90822,77
NA,NA,11.2,12,527,NA,12.1,4,27.43046,80
NA,NA,11.2,14,571,NA,13.3,3.3,28.03974,77
3.639,0.158,11.6,12,590,NA,11.3,2.5,27.0823,83
2.99,0.166,11,14,572,NA,12.3,2.1,24.38406,75
NA,NA,12.8,11,400,NA,13.1,5.8,38.3975,81
NA,NA,13.4,11,397,NA,11.7,4.3,37.26598,85
NA,NA,13.2,11,403,0.07,12.8,1.6,32.7399,76
2.838,0.129,12.8,12,401,NA,13.4,6.4,41.96614,68
2.111,0.132,13,12,403,0.02,14.1,1.7,42.83654,69
NA,NA,13.4,12,405,NA,13.7,2.2,44.75142,71
NA,NA,11,9,426,NA,9.8,4.5,26.56006,95
NA,NA,10.8,10,468,NA,11,5.3,20.46726,95
NA,NA,10.4,11,603,NA,9.9,4.6,16.2023,89
2.638,0.133,10.8,10,444,NA,10.4,3.3,28.21382,95
3.696,0.157,11,12,611,NA,9.7,1,19.07462,80
NA,NA,11.6,11,587,0.06,10.9,0.8,21.51174,74
NA,NA,10.9,10,595,0.11,9.4,1,20.64134,77
3.37,0.135,10.8,10,590,0.01,10.5,1.3,25.3415,72
NA,NA,13,10,570,0.01,11.9,0.5,24.99334,45
NA,NA,12.6,29,593,0,49,0.4,37.9623,38
NA,NA,15.2,19,548,0.02,26.3,0.3,95.4087,30
3.48,0.155,13.6,17,573,0.02,21,1.3,55.3703,50
NA,NA,15.8,19,540,0.01,28,0.4,101.41446,38
NA,NA,15.9,22,553,0.02,32.8,0.5,77.82662,45
3.157,0.151,11.9,10,589,0.16,10.1,2.3,20.72838,77
NA,NA,11.6,10,580,NA,9.9,2.9,21.4247,83
3.523,0.153,11.2,11,582,NA,10.4,2.3,22.38214,83
NA,NA,11.8,11,576,NA,10.7,1.7,23.6007,82
3.052,0.148,11.6,11,584,NA,10.5,1,24.73222,83
3.151,0.141,10.8,11,486,NA,11.1,4.6,24.73222,90
NA,NA,11,11,428,NA,12.4,0.3,27.25638,33
NA,NA,10.4,16,438,0,18.2,0.5,36.04742,43
3.002,0.132,11,13,442,NA,14.5,1.6,26.73414,82
3.052,0.144,10.6,15,445,0,14.4,0.3,32.04358,30
2.671,0.119,11.6,9,436,0,7,0.3,28.03974,30
2.918,0.143,11.4,13,437,0,14.8,1,40.05126,68
2.298,0.196,9.2,14,448,NA,14.4,0.1,39.44198,12
2.671,0.183,10.4,26,441,0.03,29.2,1.7,38.3975,45
3.081,0.123,11.6,10,435,0.03,11.1,1,35.61222,82
NA,NA,11.4,9,431,0.13,9.8,0.5,29.95462,52
3.224,0.127,11.2,11,437,0.1,11.7,0.5,26.90822,50
3.144,0.145,11.2,15,430,0.06,20.8,0.9,58.50374,69
2.496,0.177,13.6,16,386,0.15,27.1,0.7,112.99078,52
NA,NA,11,9,430,NA,9.9,1.3,26.29894,90
2.797,0.127,11,9,433,NA,12.3,1.1,29.51942,90
3.05,0.223,13.4,20,410,0,27.4,0.6,124.65414,55
2.612,0.15,11,13,442,NA,15.4,1.6,36.30854,73
3.077,0.196,12.3,28,430,0,62,0.5,45.44774,45
2.648,0.162,15.5,21,273,0.07,32.5,0.8,132.05254,49
2.341,0.165,15.8,22,263,0,37,1.1,141.27878,40
NA,NA,13.9,17,335,0.07,21,1.6,68.60038,51
NA,NA,13.5,25,341,0.04,33.7,1,97.49766,50
3.709,0.147,11.1,10,589,0.18,10.5,2,35.87334,80
3.34,0.12,13.6,2,653,NA,2,1.74,4.0812,110
NA,NA,12.6,2,647,NA,1.8,6.76,4.3299,134
3.461,0.133,12.6,3,689,NA,3,5.3,5.44905,131
NA,NA,12.4,3,656,NA,2.6,8.29,3.21075,159
3.189,0.132,12.3,3,700,NA,2.3,7.72,2.46465,122
2.887,0.121,12.4,3,710,NA,2.6,7.6,2.589,148
3.129,0.112,13.3,3,660,NA,2.5,6.41,10.92045,109
2.837,0.102,14.4,3,689,NA,2.1,1.94,9.5526,125
NA,NA,13.6,3,675,NA,2.3,6.93,4.8273,150
NA,NA,13.5,3,672,NA,2.4,7.19,4.0812,147
NA,NA,13.9,2,702,NA,1.6,7.97,9.3039,127
3.441,0.129,13.4,3,681,NA,2.1,9.18,7.0656,136
3.35,0.121,13.8,2,683,NA,1.6,7.15,4.20555,127
3.542,0.102,13.6,2,687,NA,2.2,6.64,7.0656,138
NA,NA,12.8,3,698,NA,3,8.42,10.17435,138
3.088,0.128,13.4,4,651,NA,11,0.84,4.5786,120
2.374,0.117,12.6,3,653,NA,3.5,2.94,2.46465,142
NA,NA,12.4,3,658,NA,2.5,2.47,1.8429,200
NA,NA,13.3,3,643,NA,2.2,4.88,1.8429,128
NA,NA,13.2,2,613,NA,1.8,2.91,8.5578,158
3.008,0.068,12.5,3,615,NA,3,3.39,4.45425,139
NA,NA,11.7,2,680,NA,1.9,8.4,2.8377,140
NA,NA,11.7,2,676,NA,2,7.52,2.0916,135
2.323,0.116,11.8,4,680,NA,1.4,8.59,1.5942,145
NA,NA,11.8,3,660,NA,1,7.43,1.8429,232
2.281,0.121,11.5,3,690,NA,1.3,7.79,1.8429,225
NA,NA,11.5,3,660,NA,1.2,7.99,2.0916,230
NA,NA,11.6,2,653,NA,1.6,8.08,1.8429,225
3.048,0.139,12.8,3,692,0.02,2,0.3,2.589,70
2.535,0.135,12.4,7,640,0.05,18.6,0.45,10.7961,75
NA,NA,12.6,3,657,0.04,3,0.77,2.0916,104
NA,NA,12.4,3,657,0.04,7.8,0.61,7.3143,86
NA,NA,12.5,5,670,0.03,8.9,0.43,10.67175,69
NA,NA,12.4,3,664,0.11,1.4,0.98,1.71855,122
2.646,0.131,13.2,3,665,NA,2.3,0.65,1.71855,82
3.712,0.133,12.9,3,658,NA,2.2,2.1,1.46985,149
3.098,0.129,13,3,640,NA,1.8,5,1.46985,300
NA,NA,13.2,6,647,0.08,1.8,1.4,1.96725,157
2.927,0.126,12.4,4,651,NA,1.9,1.8,1.0968,178
2.837,0.125,12.6,2,629,NA,1.2,0.96,1.22115,107
4.125,0.121,12.6,2,676,NA,1.7,0.48,1.5942,71
2.164,0.119,12.8,2,653,NA,1.8,1.58,1.0968,170
NA,NA,13.2,3,656,NA,1.9,4.64,1.22115,175
2.847,0.13,12.3,3,656,NA,2,6,1.5942,300
NA,NA,12.2,3,662,NA,3,1.5,1.71855,146
NA,NA,12.5,3,663,NA,3.1,3,1.3455,245
NA,NA,10.8,2,660,0.01,1.2,0.23,2.3403,62
2.998,0.143,13.5,3,735,0.01,2.8,0.15,9.5526,50
2.555,0.127,12.8,4,662,0.04,3.2,0.25,2.3403,43
NA,NA,12.4,4,636,NA,2.8,0.3,1.5942,28
2.267,0.124,12.1,4,636,NA,2.3,1.4,1.46985,142
2.157,0.122,12.8,3,644,NA,2.2,1.9,1.3455,189
2.233,0.119,12.8,3,642,NA,2.4,1.1,1.71855,113
NA,NA,5.9,4,570,0.02,2.8,0.8,24.59895,94
2.826,0.124,12.6,4,654,NA,2.4,2.2,1.46985,221
2.777,0.122,12.7,3,651,NA,2.6,1.8,1.5942,178
3.601,0.133,9,4,774,0.01,2,0.56,4.95165,86
NA,NA,11.8,4,531,0.03,1.9,1.7,2.46465,195
5.786,0.109,11.4,3,540,0.03,1.3,3.53,1.71855,179
2.867,0.109,11.9,4,562,NA,1.8,2.43,2.0916,180
2.605,0.092,10.2,4,524,NA,2.8,5,2.0916,145
2.178,0.101,11.6,3,573,NA,1.5,4.77,1.96725,145
NA,NA,11.3,3,552,0.08,1.4,1.99,2.21595,210
NA,NA,11.5,3,554,NA,1.6,2.39,2.3403,185
NA,NA,11.2,5,615,0.01,2.3,0.15,3.5838,39
3.454,0.055,10.8,2,485,0.01,2.8,0.89,37.1583,117
1.833,0.042,7.3,3,449,0.01,2.3,0.78,14.7753,105
NA,NA,2.8,2,500,0.01,1.5,1.07,1.71855,136
NA,NA,7.8,4,390,0.01,2,1.82,9.67695,172
1.965,0.095,7.9,3,406,0.01,2.5,1.64,41.51055,105
NA,NA,10.8,4,210,0.1,1.8,1.65,1.96725,160
NA,NA,11,3,553,NA,1.4,2.7,2.0916,156
2.047,0.101,11.4,4,562,NA,1.6,1.6,2.46465,160
NA,NA,11.2,3,542,NA,1.2,3.55,2.21595,172
NA,NA,11.4,4,549,NA,1.5,1.73,2.21595,172
1.343,0.161,2.6,8,437,0,5.2,0.25,36.4122,49
1.371,0.122,3.6,4,427,0,2.1,0.27,14.65095,55
1.558,0.09,11.9,3,330,NA,2.3,0.76,2.71335,110
NA,NA,12,2,607,NA,1.2,0.39,3.3351,80
NA,NA,12.2,4,554,NA,2.4,3.8,2.0916,295
2.635,0.106,12,3,576,NA,1.9,3.31,2.3403,192
1.902,0.095,12.3,4,536,NA,1.4,6,2.3403,245
2.061,0.103,12.2,3,546,NA,1.5,7,2.3403,245
NA,NA,12.3,2,592,NA,1,1.31,1.96725,150
NA,NA,12.4,3,525,NA,1.6,0.15,1.8429,35
NA,NA,11.9,5,630,0.01,5.2,0.11,2.71335,36
NA,NA,6.3,5,627,0,2.8,0.23,4.8273,49
2.013,0.098,13,3,553,NA,1.7,0.37,1.71855,65
2.253,0.1,12.1,3,536,0.25,1.8,0.89,2.21595,110
NA,NA,12,3,560,0.09,1.6,0.46,3.0864,78
2.333,0.092,9.5,6,558,NA,4.5,0.18,2.3403,62
NA,NA,8.9,5,461,NA,2.2,0.22,2.3403,55
2.173,0.093,9.5,5,475,0.04,2.5,0.72,1.71855,97
2.233,0.102,11.6,3,547,0.02,1.6,0.21,2.3403,57
NA,NA,9,4,535,0.06,1.5,1.15,1.71855,135
NA,NA,11.2,3,549,0.05,1.3,1.3,1.8429,158
2.424,0.105,12.1,3,540,0.06,1.6,2.56,1.5942,164
NA,NA,11.9,3,520,0.03,1.3,1.01,1.96725,137
2.635,0.102,11.5,4,553,0.04,1.6,0.63,3.45945,103
2.284,0.103,12,3,545,0.02,1.4,0.45,2.0916,93
2.354,0.105,12.3,3,555,NA,1.4,1.49,2.589,170
2.333,0.104,11.9,3,573,0,1.4,0.54,2.8377,88
NA,NA,12,2,554,0.02,1.2,0.42,3.0864,79
NA,NA,12.3,2,550,NA,0.9,1.74,2.96205,180
2.284,0.107,11.8,3,553,NA,1.7,1.63,1.71855,181
NA,NA,11.9,2,555,NA,1.3,2.88,2.21595,169
2.171,0.106,12.4,3,570,NA,1.7,2.9,1.71855,160
NA,NA,12.8,2,581,NA,1.6,0.17,2.3403,51
2.937,0.102,12.3,3,592,NA,1.7,0.23,2.3403,51
2.535,0.102,12.2,3,541,NA,1.8,1.62,1.96725,152
2.303,0.106,11.7,3,534,0.04,1.2,1.12,1.96725,152
2.302,0.111,11.4,3,643,0.04,1.4,0.78,2.46465,112
3.229,0.11,11.6,4,564,NA,1.7,0.65,2.8377,77
4.598,0.107,12,4,536,NA,1.9,3.5,2.21595,286
NA,NA,10.3,3,599,0.02,1.3,0.43,3.0864,66
2.736,0.112,12.4,4,583,0.09,1.5,1.44,2.0916,164
2.109,0.105,11.2,5,602,NA,1.6,0.66,2.589,100
2.192,0.098,11.6,4,575,0.04,1.5,0.08,2.589,42
2.333,0.102,12,3,521,NA,1.8,2.18,2.21595,171
NA,NA,12.2,3,617,0.04,1.6,0.9,1.96725,127
